"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"CENPE","HAVANA","gene",NA,NA,"ENSG00000138778.14","protein_coding","CENPE","2","OTTHUMG00000160980.9",NA,"ENSG00000138778",NA
"ENPEP","HAVANA","gene",NA,NA,"ENSG00000138792.10","protein_coding","ENPEP","2","OTTHUMG00000132546.4","overlapping_locus","ENSG00000138792",NA
"CASP6","HAVANA","gene",NA,NA,"ENSG00000138794.10","protein_coding","CASP6","1","OTTHUMG00000131914.5",NA,"ENSG00000138794",NA
"PPP3CA","HAVANA","gene",NA,NA,"ENSG00000138814.17","protein_coding","PPP3CA","1","OTTHUMG00000133839.8","ncRNA_host","ENSG00000138814",NA
"PARVG","HAVANA","gene",NA,NA,"ENSG00000138964.17","protein_coding","PARVG","2","OTTHUMG00000150473.10",NA,"ENSG00000138964",NA
"CPNE8","HAVANA","gene",NA,NA,"ENSG00000139117.14","protein_coding","CPNE8","2","OTTHUMG00000169396.4",NA,"ENSG00000139117",NA
"ZCRB1","HAVANA","gene",NA,NA,"ENSG00000139168.9","protein_coding","ZCRB1","2","OTTHUMG00000169382.2","ncRNA_host","ENSG00000139168",NA
"C1RL","HAVANA","gene",NA,NA,"ENSG00000139178.12","protein_coding","C1RL","1","OTTHUMG00000168144.4","overlapping_locus","ENSG00000139178",NA
"KLRG1","HAVANA","gene",NA,NA,"ENSG00000139187.10","protein_coding","KLRG1","2","OTTHUMG00000168277.3",NA,"ENSG00000139187",NA
"CD27","HAVANA","gene",NA,NA,"ENSG00000139193.4","protein_coding","CD27","2","OTTHUMG00000168316.1","overlapping_locus","ENSG00000139193",NA
"AMIGO2","HAVANA","gene",NA,NA,"ENSG00000139211.7","protein_coding","AMIGO2","2","OTTHUMG00000169616.1",NA,"ENSG00000139211",NA
"INHBE","HAVANA","gene",NA,NA,"ENSG00000139269.3","protein_coding","INHBE","2","OTTHUMG00000169995.3",NA,"ENSG00000139269",NA
"GLIPR1","HAVANA","gene",NA,NA,"ENSG00000139278.10","protein_coding","GLIPR1","1","OTTHUMG00000169757.3",NA,"ENSG00000139278",NA
"PHLDA1","HAVANA","gene",NA,NA,"ENSG00000139289.14","protein_coding","PHLDA1","2","OTTHUMG00000169783.2",NA,"ENSG00000139289",NA
"LUM","HAVANA","gene",NA,NA,"ENSG00000139329.5","protein_coding","LUM","2","OTTHUMG00000170074.3",NA,"ENSG00000139329",NA
"ACVRL1","HAVANA","gene",NA,NA,"ENSG00000139567.13","protein_coding","ACVRL1","1","OTTHUMG00000169507.5",NA,"ENSG00000139567",NA
"RHOF","HAVANA","gene",NA,NA,"ENSG00000139725.8","protein_coding","RHOF","2","OTTHUMG00000169077.6","overlapping_locus","ENSG00000139725",NA
"RAB20","HAVANA","gene",NA,NA,"ENSG00000139832.5","protein_coding","RAB20","2","OTTHUMG00000017343.4",NA,"ENSG00000139832",NA
"SSTR1","HAVANA","gene",NA,NA,"ENSG00000139874.6","protein_coding","SSTR1","2","OTTHUMG00000140249.4","retrogene","ENSG00000139874",NA
"CDH24","HAVANA","gene",NA,NA,"ENSG00000139880.21","protein_coding","CDH24","2","OTTHUMG00000028715.7",NA,"ENSG00000139880",NA
"FRMD6","HAVANA","gene",NA,NA,"ENSG00000139926.16","protein_coding","FRMD6","1","OTTHUMG00000140294.4","ncRNA_host","ENSG00000139926",NA
"PELI2","HAVANA","gene",NA,NA,"ENSG00000139946.10","protein_coding","PELI2","2","OTTHUMG00000152336.4",NA,"ENSG00000139946",NA
"ESR2","HAVANA","gene",NA,NA,"ENSG00000140009.19","protein_coding","ESR2","1","OTTHUMG00000141306.4","ncRNA_host","ENSG00000140009",NA
"GPR65","HAVANA","gene",NA,NA,"ENSG00000140030.6","protein_coding","GPR65","2","OTTHUMG00000028648.6",NA,"ENSG00000140030",NA
"SLC27A2","HAVANA","gene",NA,NA,"ENSG00000140284.11","protein_coding","SLC27A2","1","OTTHUMG00000131643.3","ncRNA_host","ENSG00000140284",NA
"FGF7","HAVANA","gene",NA,NA,"ENSG00000140285.12","protein_coding","FGF7","1","OTTHUMG00000131517.5",NA,"ENSG00000140285",NA
"PSTPIP1","HAVANA","gene",NA,NA,"ENSG00000140368.13","protein_coding","PSTPIP1","1","OTTHUMG00000172594.6",NA,"ENSG00000140368",NA
"BCL2A1","HAVANA","gene",NA,NA,"ENSG00000140379.9","protein_coding","BCL2A1","2","OTTHUMG00000144173.2",NA,"ENSG00000140379",NA
"TPM1","HAVANA","gene",NA,NA,"ENSG00000140416.23","protein_coding","TPM1","2","OTTHUMG00000132803.19",NA,"ENSG00000140416",NA
"CYP1A2","HAVANA","gene",NA,NA,"ENSG00000140505.7","protein_coding","CYP1A2","2","OTTHUMG00000172901.5",NA,"ENSG00000140505",NA
"HAPLN3","HAVANA","gene",NA,NA,"ENSG00000140511.12","protein_coding","HAPLN3","1","OTTHUMG00000148680.5",NA,"ENSG00000140511",NA
"FANCI","HAVANA","gene",NA,NA,"ENSG00000140525.20","protein_coding","FANCI","1","OTTHUMG00000132993.7",NA,"ENSG00000140525",NA
"FURIN","HAVANA","gene",NA,NA,"ENSG00000140564.13","protein_coding","FURIN","2","OTTHUMG00000149831.4",NA,"ENSG00000140564",NA
"ITGAX","HAVANA","gene",NA,NA,"ENSG00000140678.17","protein_coding","ITGAX","2","OTTHUMG00000132465.4",NA,"ENSG00000140678",NA
"TGFB1I1","HAVANA","gene",NA,NA,"ENSG00000140682.19","protein_coding","TGFB1I1","2","OTTHUMG00000132467.7",NA,"ENSG00000140682",NA
"IGSF6","HAVANA","gene",NA,NA,"ENSG00000140749.9","protein_coding","IGSF6","1","OTTHUMG00000090709.4",NA,"ENSG00000140749",NA
"ARHGAP17","HAVANA","gene",NA,NA,"ENSG00000140750.17","protein_coding","ARHGAP17","2","OTTHUMG00000177372.11",NA,"ENSG00000140750",NA
"NUDT7","HAVANA","gene",NA,NA,"ENSG00000140876.11","protein_coding","NUDT7","1","OTTHUMG00000176808.1",NA,"ENSG00000140876",NA
"CMTM3","HAVANA","gene",NA,NA,"ENSG00000140931.20","protein_coding","CMTM3","1","OTTHUMG00000137503.9",NA,"ENSG00000140931",NA
"CDH11","HAVANA","gene",NA,NA,"ENSG00000140937.14","protein_coding","CDH11","1","OTTHUMG00000137494.7","overlapping_locus","ENSG00000140937",NA
"CDH13","HAVANA","gene",NA,NA,"ENSG00000140945.17","protein_coding","CDH13","1","OTTHUMG00000176635.3","ncRNA_host","ENSG00000140945",NA
"IRF8","HAVANA","gene",NA,NA,"ENSG00000140968.12","protein_coding","IRF8","2","OTTHUMG00000137648.10","ncRNA_host","ENSG00000140968",NA
"PCTP","HAVANA","gene",NA,NA,"ENSG00000141179.14","protein_coding","PCTP","1","OTTHUMG00000177859.3",NA,"ENSG00000141179",NA
"PTRH2","HAVANA","gene",NA,NA,"ENSG00000141378.15","protein_coding","PTRH2","2","OTTHUMG00000154532.4",NA,"ENSG00000141378",NA
"GNAL","HAVANA","gene",NA,NA,"ENSG00000141404.17","protein_coding","GNAL","1","OTTHUMG00000131660.5","overlapping_locus","ENSG00000141404",NA
"PIK3R5","HAVANA","gene",NA,NA,"ENSG00000141506.15","protein_coding","PIK3R5","2","OTTHUMG00000108197.5",NA,"ENSG00000141506",NA
"SLC16A3","HAVANA","gene",NA,NA,"ENSG00000141526.18","protein_coding","SLC16A3","1","OTTHUMG00000178832.2","ncRNA_host","ENSG00000141526",NA
"PMAIP1","HAVANA","gene",NA,NA,"ENSG00000141682.12","protein_coding","PMAIP1","2","OTTHUMG00000132765.2",NA,"ENSG00000141682",NA
"IGFBP4","HAVANA","gene",NA,NA,"ENSG00000141753.7","protein_coding","IGFBP4","2","OTTHUMG00000133326.2",NA,"ENSG00000141753",NA
"PFKL","HAVANA","gene",NA,NA,"ENSG00000141959.17","protein_coding","PFKL","2","OTTHUMG00000086910.3",NA,"ENSG00000141959",NA
"COL6A1","HAVANA","gene",NA,NA,"ENSG00000142156.16","protein_coding","COL6A1","2","OTTHUMG00000090440.2",NA,"ENSG00000142156",NA
"COL6A2","HAVANA","gene",NA,NA,"ENSG00000142173.16","protein_coding","COL6A2","2","OTTHUMG00000090489.8",NA,"ENSG00000142173",NA
"SIK1","HAVANA","gene",NA,NA,"ENSG00000142178.9","protein_coding","SIK1","2","OTTHUMG00000086874.3",NA,"ENSG00000142178",NA
"EMP3","HAVANA","gene",NA,NA,"ENSG00000142227.11","protein_coding","EMP3","1","OTTHUMG00000183196.3",NA,"ENSG00000142227",NA
"TM4SF5","HAVANA","gene",NA,NA,"ENSG00000142484.7","protein_coding","TM4SF5","2","OTTHUMG00000090776.4",NA,"ENSG00000142484",NA
"RPS11","HAVANA","gene",NA,NA,"ENSG00000142534.7","protein_coding","RPS11","2","OTTHUMG00000183156.4","ncRNA_host","ENSG00000142534",NA
"RCN3","HAVANA","gene",NA,NA,"ENSG00000142552.8","protein_coding","RCN3","1","OTTHUMG00000183154.3",NA,"ENSG00000142552",NA
"HSPG2","HAVANA","gene",NA,NA,"ENSG00000142798.20","protein_coding","HSPG2","2","OTTHUMG00000002674.11",NA,"ENSG00000142798",NA
"CCN1","HAVANA","gene",NA,NA,"ENSG00000142871.18","protein_coding","CCN1","2","OTTHUMG00000010577.2",NA,"ENSG00000142871",NA
"KIF2C","HAVANA","gene",NA,NA,"ENSG00000142945.13","protein_coding","KIF2C","2","OTTHUMG00000008416.7",NA,"ENSG00000142945",NA
"CD53","HAVANA","gene",NA,NA,"ENSG00000143119.14","protein_coding","CD53","2","OTTHUMG00000048020.5",NA,"ENSG00000143119",NA
"PROK1","HAVANA","gene",NA,NA,"ENSG00000143125.6","protein_coding","PROK1","2","OTTHUMG00000011569.3",NA,"ENSG00000143125",NA
"CELSR2","HAVANA","gene",NA,NA,"ENSG00000143126.8","protein_coding","CELSR2","2","OTTHUMG00000012003.2",NA,"ENSG00000143126",NA
"FCGR2A","HAVANA","gene",NA,NA,"ENSG00000143226.15","protein_coding","FCGR2A","2","OTTHUMG00000034469.9","overlapping_locus","ENSG00000143226",NA
"NUF2","HAVANA","gene",NA,NA,"ENSG00000143228.13","protein_coding","NUF2","1","OTTHUMG00000034275.4",NA,"ENSG00000143228",NA
"RGS5","HAVANA","gene",NA,NA,"ENSG00000143248.13","protein_coding","RGS5","1","OTTHUMG00000034441.6","overlapping_locus","ENSG00000143248",NA
"CASQ1","HAVANA","gene",NA,NA,"ENSG00000143318.13","protein_coding","CASQ1","2","OTTHUMG00000031607.5",NA,"ENSG00000143318",NA
"CRABP2","HAVANA","gene",NA,NA,"ENSG00000143320.9","protein_coding","CRABP2","2","OTTHUMG00000041300.4",NA,"ENSG00000143320",NA
"ABL2","HAVANA","gene",NA,NA,"ENSG00000143322.21","protein_coding","ABL2","2","OTTHUMG00000035199.11",NA,"ENSG00000143322",NA
"RGS16","HAVANA","gene",NA,NA,"ENSG00000143333.7","protein_coding","RGS16","2","OTTHUMG00000035212.2",NA,"ENSG00000143333",NA
"ECM1","HAVANA","gene",NA,NA,"ENSG00000143369.15","protein_coding","ECM1","2","OTTHUMG00000012806.3",NA,"ENSG00000143369",NA
"CTSK","HAVANA","gene",NA,NA,"ENSG00000143387.14","protein_coding","CTSK","2","OTTHUMG00000035008.4",NA,"ENSG00000143387",NA
"ANP32E","HAVANA","gene",NA,NA,"ENSG00000143401.15","protein_coding","ANP32E","1","OTTHUMG00000012547.6",NA,"ENSG00000143401",NA
"DTL","HAVANA","gene",NA,NA,"ENSG00000143476.18","protein_coding","DTL","2","OTTHUMG00000037133.2","ncRNA_host","ENSG00000143476",NA
"HHIPL2","HAVANA","gene",NA,NA,"ENSG00000143512.13","protein_coding","HHIPL2","2","OTTHUMG00000037545.4",NA,"ENSG00000143512",NA
"S100A8","HAVANA","gene",NA,NA,"ENSG00000143546.10","protein_coding","S100A8","2","OTTHUMG00000013124.3",NA,"ENSG00000143546",NA
"TPM3","HAVANA","gene",NA,NA,"ENSG00000143549.21","protein_coding","TPM3","2","OTTHUMG00000035853.12","ncRNA_host","ENSG00000143549",NA
"SLC27A3","HAVANA","gene",NA,NA,"ENSG00000143554.14","protein_coding","SLC27A3","1","OTTHUMG00000037155.6","overlapping_locus","ENSG00000143554",NA
"S100A7","HAVANA","gene",NA,NA,"ENSG00000143556.9","protein_coding","S100A7","2","OTTHUMG00000013123.2",NA,"ENSG00000143556",NA
"GALNT2","HAVANA","gene",NA,NA,"ENSG00000143641.10","protein_coding","GALNT2","2","OTTHUMG00000037771.2",NA,"ENSG00000143641",NA
"CEP170","HAVANA","gene",NA,NA,"ENSG00000143702.16","protein_coding","CEP170","2","OTTHUMG00000039862.6",NA,"ENSG00000143702",NA
"PSEN2","HAVANA","gene",NA,NA,"ENSG00000143801.18","protein_coding","PSEN2","1","OTTHUMG00000037563.7","overlapping_locus","ENSG00000143801",NA
"RHOB","HAVANA","gene",NA,NA,"ENSG00000143878.10","protein_coding","RHOB","2","OTTHUMG00000090755.4",NA,"ENSG00000143878",NA
"NPHP1","HAVANA","gene",NA,NA,"ENSG00000144061.14","protein_coding","NPHP1","1","OTTHUMG00000131195.3",NA,"ENSG00000144061",NA
"GULP1","HAVANA","gene",NA,NA,"ENSG00000144366.16","protein_coding","GULP1","1","OTTHUMG00000132647.5","ncRNA_host","ENSG00000144366",NA
"ACKR3","HAVANA","gene",NA,NA,"ENSG00000144476.6","protein_coding","ACKR3","2","OTTHUMG00000133295.5",NA,"ENSG00000144476",NA
"EAF1","HAVANA","gene",NA,NA,"ENSG00000144597.14","protein_coding","EAF1","2","OTTHUMG00000162544.3",NA,"ENSG00000144597",NA
"ITGA9","HAVANA","gene",NA,NA,"ENSG00000144668.12","protein_coding","ITGA9","2","OTTHUMG00000130815.5","overlapping_locus","ENSG00000144668",NA
"COL8A1","HAVANA","gene",NA,NA,"ENSG00000144810.16","protein_coding","COL8A1","2","OTTHUMG00000148669.5",NA,"ENSG00000144810",NA
"BOC","HAVANA","gene",NA,NA,"ENSG00000144857.15","protein_coding","BOC","1","OTTHUMG00000159305.22",NA,"ENSG00000144857",NA
"AGTR1","HAVANA","gene",NA,NA,"ENSG00000144891.19","protein_coding","AGTR1","2","OTTHUMG00000159503.1",NA,"ENSG00000144891",NA
"TRPC1","HAVANA","gene",NA,NA,"ENSG00000144935.16","protein_coding","TRPC1","2","OTTHUMG00000159301.3","ncRNA_host","ENSG00000144935",NA
"NCEH1","HAVANA","gene",NA,NA,"ENSG00000144959.11","protein_coding","NCEH1","1","OTTHUMG00000156872.8",NA,"ENSG00000144959",NA
"SLIT2","HAVANA","gene",NA,NA,"ENSG00000145147.20","protein_coding","SLIT2","2","OTTHUMG00000128551.5","ncRNA_host","ENSG00000145147",NA
"ATP10D","HAVANA","gene",NA,NA,"ENSG00000145246.14","protein_coding","ATP10D","2","OTTHUMG00000160784.4",NA,"ENSG00000145246",NA
"PLAC8","HAVANA","gene",NA,NA,"ENSG00000145287.11","protein_coding","PLAC8","1","OTTHUMG00000130294.2",NA,"ENSG00000145287",NA
"CCNA2","HAVANA","gene",NA,NA,"ENSG00000145386.11","protein_coding","CCNA2","2","OTTHUMG00000133072.4",NA,"ENSG00000145386",NA
"SETD7","HAVANA","gene",NA,NA,"ENSG00000145391.14","protein_coding","SETD7","1","OTTHUMG00000133385.9",NA,"ENSG00000145391",NA
"SFRP2","HAVANA","gene",NA,NA,"ENSG00000145423.5","protein_coding","SFRP2","2","OTTHUMG00000161559.3",NA,"ENSG00000145423",NA
"PDGFC","HAVANA","gene",NA,NA,"ENSG00000145431.11","protein_coding","PDGFC","2","OTTHUMG00000161803.5",NA,"ENSG00000145431",NA
"CBR4","HAVANA","gene",NA,NA,"ENSG00000145439.12","protein_coding","CBR4","2","OTTHUMG00000161025.5",NA,"ENSG00000145439",NA
"MYO10","HAVANA","gene",NA,NA,"ENSG00000145555.15","protein_coding","MYO10","1","OTTHUMG00000161822.5","overlapping_locus","ENSG00000145555",NA
"OSMR","HAVANA","gene",NA,NA,"ENSG00000145623.13","protein_coding","OSMR","1","OTTHUMG00000090811.3",NA,"ENSG00000145623",NA
"GZMA","HAVANA","gene",NA,NA,"ENSG00000145649.8","protein_coding","GZMA","2","OTTHUMG00000097011.3",NA,"ENSG00000145649",NA
"SPINK7","HAVANA","gene",NA,NA,"ENSG00000145879.11","protein_coding","SPINK7","2","OTTHUMG00000163522.6",NA,"ENSG00000145879",NA
"TNIP1","HAVANA","gene",NA,NA,"ENSG00000145901.16","protein_coding","TNIP1","1","OTTHUMG00000163722.7",NA,"ENSG00000145901",NA
"PLA2G7","HAVANA","gene",NA,NA,"ENSG00000146070.17","protein_coding","PLA2G7","2","OTTHUMG00000014789.2",NA,"ENSG00000146070",NA
"TNFRSF21","HAVANA","gene",NA,NA,"ENSG00000146072.6","protein_coding","TNFRSF21","2","OTTHUMG00000014796.1",NA,"ENSG00000146072",NA
"TPBG","HAVANA","gene",NA,NA,"ENSG00000146242.9","protein_coding","TPBG","2","OTTHUMG00000015103.1",NA,"ENSG00000146242",NA
"GNA12","HAVANA","gene",NA,NA,"ENSG00000146535.14","protein_coding","GNA12","1","OTTHUMG00000023064.6",NA,"ENSG00000146535",NA
"SDK1","HAVANA","gene",NA,NA,"ENSG00000146555.20","protein_coding","SDK1","1","OTTHUMG00000151733.4","overlapping_locus","ENSG00000146555",NA
"EGFR","HAVANA","gene",NA,NA,"ENSG00000146648.20","protein_coding","EGFR","1","OTTHUMG00000023661.5",NA,"ENSG00000146648",NA
"IGFBP3","HAVANA","gene",NA,NA,"ENSG00000146674.16","protein_coding","IGFBP3","1","OTTHUMG00000023769.10",NA,"ENSG00000146674",NA
"IGFBP1","HAVANA","gene",NA,NA,"ENSG00000146678.10","protein_coding","IGFBP1","1","OTTHUMG00000152343.4",NA,"ENSG00000146678",NA
"TMEM47","HAVANA","gene",NA,NA,"ENSG00000147027.4","protein_coding","TMEM47","2","OTTHUMG00000021343.2",NA,"ENSG00000147027",NA
"MSN","HAVANA","gene",NA,NA,"ENSG00000147065.17","protein_coding","MSN","2","OTTHUMG00000021723.5",NA,"ENSG00000147065",NA
"IL2RG","HAVANA","gene",NA,NA,"ENSG00000147168.14","protein_coding","IL2RG","1","OTTHUMG00000021787.3","overlapping_locus","ENSG00000147168",NA
"PRPS1","HAVANA","gene",NA,NA,"ENSG00000147224.13","protein_coding","PRPS1","2","OTTHUMG00000022167.3",NA,"ENSG00000147224",NA
"GPC3","HAVANA","gene",NA,NA,"ENSG00000147257.16","protein_coding","GPC3","2","OTTHUMG00000022448.6",NA,"ENSG00000147257",NA
"RGS20","HAVANA","gene",NA,NA,"ENSG00000147509.14","protein_coding","RGS20","2","OTTHUMG00000164750.3","ncRNA_host","ENSG00000147509",NA
"GINS4","HAVANA","gene",NA,NA,"ENSG00000147536.12","protein_coding","GINS4","2","OTTHUMG00000164079.4",NA,"ENSG00000147536",NA
"MAL2","HAVANA","gene",NA,NA,"ENSG00000147676.14","protein_coding","MAL2","2","OTTHUMG00000164973.5",NA,"ENSG00000147676",NA
"FAM83A","HAVANA","gene",NA,NA,"ENSG00000147689.17","protein_coding","FAM83A","2","OTTHUMG00000165083.3","overlapping_locus","ENSG00000147689",NA
"AK3","HAVANA","gene",NA,NA,"ENSG00000147853.17","protein_coding","AK3","2","OTTHUMG00000019472.3",NA,"ENSG00000147853",NA
"CDKN2A","HAVANA","gene",NA,NA,"ENSG00000147889.18","protein_coding","CDKN2A","1","OTTHUMG00000019686.7",NA,"ENSG00000147889",NA
"NTRK2","HAVANA","gene",NA,NA,"ENSG00000148053.18","protein_coding","NTRK2","2","OTTHUMG00000020120.3",NA,"ENSG00000148053",NA
"SHC3","HAVANA","gene",NA,NA,"ENSG00000148082.10","protein_coding","SHC3","2","OTTHUMG00000020179.3","overlapping_locus","ENSG00000148082",NA
"STOM","HAVANA","gene",NA,NA,"ENSG00000148175.13","protein_coding","STOM","2","OTTHUMG00000020590.3",NA,"ENSG00000148175",NA
"PTGES2","HAVANA","gene",NA,NA,"ENSG00000148334.16","protein_coding","PTGES2","1","OTTHUMG00000020730.4",NA,"ENSG00000148334",NA
"NOTCH1","HAVANA","gene",NA,NA,"ENSG00000148400.13","protein_coding","NOTCH1","2","OTTHUMG00000020935.3","ncRNA_host","ENSG00000148400",NA
"FAM171A1","HAVANA","gene",NA,NA,"ENSG00000148468.17","protein_coding","FAM171A1","2","OTTHUMG00000017732.3",NA,"ENSG00000148468",NA
"ZEB1","HAVANA","gene",NA,NA,"ENSG00000148516.23","protein_coding","ZEB1","1","OTTHUMG00000017907.5","overlapping_locus","ENSG00000148516",NA
"ADIRF","HAVANA","gene",NA,NA,"ENSG00000148671.14","protein_coding","ADIRF","2","OTTHUMG00000018668.4","overlapping_locus","ENSG00000148671",NA
"ANKRD1","HAVANA","gene",NA,NA,"ENSG00000148677.7","protein_coding","ANKRD1","2","OTTHUMG00000018734.1",NA,"ENSG00000148677",NA
"ADAM12","HAVANA","gene",NA,NA,"ENSG00000148848.15","protein_coding","ADAM12","2","OTTHUMG00000019243.3","ncRNA_host","ENSG00000148848",NA
"ADM","HAVANA","gene",NA,NA,"ENSG00000148926.10","protein_coding","ADM","2","OTTHUMG00000165907.2",NA,"ENSG00000148926",NA
"PAMR1","HAVANA","gene",NA,NA,"ENSG00000149090.13","protein_coding","PAMR1","1","OTTHUMG00000166328.4",NA,"ENSG00000149090",NA
"SERPING1","HAVANA","gene",NA,NA,"ENSG00000149131.17","protein_coding","SERPING1","1","OTTHUMG00000150304.4",NA,"ENSG00000149131",NA
"NCAM1","HAVANA","gene",NA,NA,"ENSG00000149294.17","protein_coding","NCAM1","1","OTTHUMG00000167196.8","ncRNA_host","ENSG00000149294",NA
"ATM","HAVANA","gene",NA,NA,"ENSG00000149311.20","protein_coding","ATM","1","OTTHUMG00000166480.7",NA,"ENSG00000149311",NA
"ST14","HAVANA","gene",NA,NA,"ENSG00000149418.11","protein_coding","ST14","2","OTTHUMG00000165768.2",NA,"ENSG00000149418",NA
"HYOU1","HAVANA","gene",NA,NA,"ENSG00000149428.21","protein_coding","HYOU1","1","OTTHUMG00000166354.11",NA,"ENSG00000149428",NA
"FADS1","HAVANA","gene",NA,NA,"ENSG00000149485.19","protein_coding","FADS1","1","OTTHUMG00000157155.8","ncRNA_host","ENSG00000149485",NA
"MS4A2","HAVANA","gene",NA,NA,"ENSG00000149534.9","protein_coding","MS4A2","2","OTTHUMG00000167239.3",NA,"ENSG00000149534",NA
"FEZ1","HAVANA","gene",NA,NA,"ENSG00000149557.14","protein_coding","FEZ1","1","OTTHUMG00000165886.8",NA,"ENSG00000149557",NA
"TAGLN","HAVANA","gene",NA,NA,"ENSG00000149591.17","protein_coding","TAGLN","2","OTTHUMG00000167067.3",NA,"ENSG00000149591",NA
"FERMT3","HAVANA","gene",NA,NA,"ENSG00000149781.13","protein_coding","FERMT3","1","OTTHUMG00000167790.8",NA,"ENSG00000149781",NA
"ALDOA","HAVANA","gene",NA,NA,"ENSG00000149925.22","protein_coding","ALDOA","1","OTTHUMG00000132107.12","overlapping_locus","ENSG00000149925",NA
"MMP3","HAVANA","gene",NA,NA,"ENSG00000149968.12","protein_coding","MMP3","2","OTTHUMG00000048254.4",NA,"ENSG00000149968",NA
"TRIM48","HAVANA","gene",NA,NA,"ENSG00000150244.12","protein_coding","TRIM48","2","OTTHUMG00000157011.2","overlapping_locus","ENSG00000150244",NA
"ADRA2A","HAVANA","gene",NA,NA,"ENSG00000150594.7","protein_coding","ADRA2A","2","OTTHUMG00000019050.3","retrogene","ENSG00000150594",NA
"VEGFC","HAVANA","gene",NA,NA,"ENSG00000150630.4","protein_coding","VEGFC","2","OTTHUMG00000160734.4",NA,"ENSG00000150630",NA
"CCDC102B","HAVANA","gene",NA,NA,"ENSG00000150636.17","protein_coding","CCDC102B","1","OTTHUMG00000132808.5","ncRNA_host","ENSG00000150636",NA
"RGS18","HAVANA","gene",NA,NA,"ENSG00000150681.10","protein_coding","RGS18","2","OTTHUMG00000035592.2",NA,"ENSG00000150681",NA
"PRSS23","HAVANA","gene",NA,NA,"ENSG00000150687.12","protein_coding","PRSS23","2","OTTHUMG00000167226.4","overlapping_locus","ENSG00000150687",NA
"IL18","HAVANA","gene",NA,NA,"ENSG00000150782.12","protein_coding","IL18","1","OTTHUMG00000167006.3",NA,"ENSG00000150782",NA
"FREM2","HAVANA","gene",NA,NA,"ENSG00000150893.11","protein_coding","FREM2","2","OTTHUMG00000016759.5","ncRNA_host","ENSG00000150893",NA
"FOXO1","HAVANA","gene",NA,NA,"ENSG00000150907.10","protein_coding","FOXO1","2","OTTHUMG00000016775.6",NA,"ENSG00000150907",NA
"CRIM1","HAVANA","gene",NA,NA,"ENSG00000150938.10","protein_coding","CRIM1","1","OTTHUMG00000099419.3",NA,"ENSG00000150938",NA
"ALLC","HAVANA","gene",NA,NA,"ENSG00000151360.10","protein_coding","ALLC","2","OTTHUMG00000151485.2",NA,"ENSG00000151360",NA
"THRSP","HAVANA","gene",NA,NA,"ENSG00000151365.2","protein_coding","THRSP","2","OTTHUMG00000166632.1",NA,"ENSG00000151365",NA
"ADAMTS12","HAVANA","gene",NA,NA,"ENSG00000151388.11","protein_coding","ADAMTS12","2","OTTHUMG00000162088.5","ncRNA_host","ENSG00000151388",NA
"EPS8","HAVANA","gene",NA,NA,"ENSG00000151491.14","protein_coding","EPS8","1","OTTHUMG00000168787.10","ncRNA_host","ENSG00000151491",NA
"MMAA","HAVANA","gene",NA,NA,"ENSG00000151611.17","protein_coding","MMAA","2","OTTHUMG00000161369.8",NA,"ENSG00000151611",NA
"EDNRA","HAVANA","gene",NA,NA,"ENSG00000151617.17","protein_coding","EDNRA","2","OTTHUMG00000161354.4","overlapping_locus","ENSG00000151617",NA
"WWC2","HAVANA","gene",NA,NA,"ENSG00000151718.16","protein_coding","WWC2","1","OTTHUMG00000150685.4",NA,"ENSG00000151718",NA
"CENPU","HAVANA","gene",NA,NA,"ENSG00000151725.12","protein_coding","CENPU","2","OTTHUMG00000160499.20",NA,"ENSG00000151725",NA
"BICD1","HAVANA","gene",NA,NA,"ENSG00000151746.15","protein_coding","BICD1","1","OTTHUMG00000169307.6","overlapping_locus","ENSG00000151746",NA
"TDO2","HAVANA","gene",NA,NA,"ENSG00000151790.9","protein_coding","TDO2","2","OTTHUMG00000161838.6",NA,"ENSG00000151790",NA
"BEND6","HAVANA","gene",NA,NA,"ENSG00000151917.18","protein_coding","BEND6","2","OTTHUMG00000014914.8","overlapping_locus","ENSG00000151917",NA
"SCHIP1","HAVANA","gene",NA,NA,"ENSG00000151967.18","protein_coding","SCHIP1","1","OTTHUMG00000158934.2","overlapping_locus","ENSG00000151967",NA
"KCNE4","HAVANA","gene",NA,NA,"ENSG00000152049.7","protein_coding","KCNE4","2","OTTHUMG00000133161.4",NA,"ENSG00000152049",NA
"GEMIN6","HAVANA","gene",NA,NA,"ENSG00000152147.11","protein_coding","GEMIN6","1","OTTHUMG00000128588.4","overlapping_locus","ENSG00000152147",NA
"CYSLTR2","HAVANA","gene",NA,NA,"ENSG00000152207.8","protein_coding","CYSLTR2","2","OTTHUMG00000016906.4",NA,"ENSG00000152207",NA
"SPC25","HAVANA","gene",NA,NA,"ENSG00000152253.9","protein_coding","SPC25","2","OTTHUMG00000132181.10",NA,"ENSG00000152253",NA
"SPOCK1","HAVANA","gene",NA,NA,"ENSG00000152377.14","protein_coding","SPOCK1","2","OTTHUMG00000129157.7",NA,"ENSG00000152377",NA
"JMY","HAVANA","gene",NA,NA,"ENSG00000152409.9","protein_coding","JMY","2","OTTHUMG00000131301.7",NA,"ENSG00000152409",NA
